a,a.DET:4
brevet,brevet.V::g1s:g1p:g2s:g2p:g3p
brevets,brevet.V::g3s
brevity,brevity.N
bride,bride.N
bridge,bridge.V::g1s:g1p:g2s:g2p:g3p
brief,brief.V::g1s:g1p:g2s:g2p:g3p
brigadier,brigadier.N
brighter,bright.ADV
brilliant,brilliant.N
bring,bring.V::g1s:g1p:g2s:g2p:g3p
bringing,bring.V
brings,bring.V::g3s
broadcasting,broadcast.V
broke,break.V
broken,break.V
bronchitis,bronchitis.N
brother,brother.N
brothers,brother.N
brought,bring.V
brush,brush.V::g1s:g1p:g2s:g2p:g3p
bu,bu.N
bucket,bucket.V::g1s:g1p:g2s:g2p:g3p
bucks,buck.V::g3s
budget,budget.V::g1s:g1p:g2s:g2p:g3p
bugs,bug.V::g3s
building,build.V
built,build.V
bum,bum.V::g1s:g1p:g2s:g2p:g3p
bump,bump.V::g1s:g1p:g2s:g2p:g3p
burden,burden.V::g1s:g1p:g2s:g2p:g3p
burdens,burden.V::g3s
burning,burn.V
burnt,burn.V
bus,bus.V::g1s:g1p:g2s:g2p:g3p
bush,bush.V::g1s:g1p:g2s:g2p:g3p
busier,busy.ADJ
busiest,busy.ADJ
business,business.N
busy,busy.V::g1s:g1p:g2s:g2p:g3p
butterfly,butterfly.N
buy,buy.V::g1s:g1p:g2s:g2p:g3p
by,by.ADV
bye,bye.N
cakes,cake.V::g3s
caliber,caliber.N
call,call.V::g1s:g1p:g2s:g2p:g3p
called,call.V
calling,call.V
calls,call.V::g3s
calm,calm.V::g1s:g1p:g2s:g2p:g3p
calories,calory.N
came,come.V
camp,camp.V::g1s:g1p:g2s:g2p:g3p
canal,canal.V::g1s:g1p:g2s:g2p:g3p
can,can.V::g1s:g1p:g2s:g2p:g3p
cancel,cancel.V::g1s:g1p:g2s:g2p:g3p
cancelled,cancel.V
cancer,cancer.N
candidates,candidate.N
candid,candid.N
candles,candle.V::g3s
cannot,cannot.V::g1s:g1p:g2s:g2p:g3s:g3p
capable,capable.ADJ
capacities,capacity.N
capacity,capacity.N
capital,capital.N
caprice,caprice.N
captive,captive.N
car,car.N
cardboard,cardboard.N
card,card.V::g1s:g1p:g2s:g2p:g3p
cardinal,cardinal.N
cardinals,cardinal.N
cards,card.V::g3s
care,care.V::g1s:g1p:g2s:g2p:g3p
cared,care.V
career,career.V::g1s:g1p:g2s:g2p:g3p
careful,careful.ADJ
carefully,carefully.ADV
careless,careless.ADJ
carpet,carpet.N
carry,carry.V::g1s:g1p:g2s:g2p:g3p
carrying,carry.V
cars,car.N
case,case.V::g1s:g1p:g2s:g2p:g3p
cases,case.V::g3s
cash,cash.V::g1s:g1p:g2s:g2p:g3p
cat,cat.V::g1s:g1p:g2s:g2p:g3p
catch,catch.V::g1s:g1p:g2s:g2p:g3p
category,category.N
catholic,catholic.N
cats,cat.V::g3s
caught,catch.V
causal,causal.ADJ
causality,causality.N
cause,cause.V::g1s:g1p:g2s:g2p:g3p
caused,cause.V
causes,cause.V::g3s
cautiously,cautiously.ADV
cease,cease.V::g1s:g1p:g2s:g2p:g3p
ceased,cease.V
ceiling,ceil.V
ceilings,ceiling.N
celebrated,celebrate.V
censor,censor.V::g1s:g1p:g2s:g2p:g3p
cent,cent.N
central,central.N
centrum,centrum.N
century,century.N
ceremony,ceremony.N
certain,certain.N
certainly,certainly.ADV
certainty,certainty.N
certificate,certificate.V::g1s:g1p:g2s:g2p:g3p
certify,certify.V::g1s:g1p:g2s:g2p:g3p
chain,chain.V::g1s:g1p:g2s:g2p:g3p
chair,chair.V::g1s:g1p:g2s:g2p:g3p
chairman,chairman.V::g1s:g1p:g2s:g2p:g3p
chalet,chalet.N
challenge,challenge.V::g1s:g1p:g2s:g2p:g3p
chambermaid,chambermaid.N
chance,chance.V::g1s:g1p:g2s:g2p:g3p
chances,chance.V::g3s
changeable,changeable.ADV
change,change.V::g1s:g1p:g2s:g2p:g3p
changed,change.V
changes,change.V::g3s
changing,change.V
chap,chap.V::g1s:g1p:g2s:g2p:g3p
chapter,chapter.N
character,character.V::g1s:g1p:g2s:g2p:g3p
characterise,characterise.V::g1s:g1p:g2s:g2p:g3p
characterises,characterise.V::g3s
characteristic,characteristic.N
characteristics,characteristic.N
char,char.V::g1s:g1p:g2s:g2p:g3p
charge,charge.V::g1s:g1p:g2s:g2p:g3p
charlatans,charlatan.N
charm,charm.V::g1s:g1p:g2s:g2p:g3p
charming,charm.V
chat,chat.V::g1s:g1p:g2s:g2p:g3p
cheap,cheap.ADV
cheat,cheat.V::g1s:g1p:g2s:g2p:g3p
cheating,cheat.V
check,check.V::g1s:g1p:g2s:g2p:g3p
cheek,cheek.V::g1s:g1p:g2s:g2p:g3p
cheerful,cheerful.ADJ
cheering,cheer.V
cheers,cheer.V::g3s
cheery,cheery.ADJ
chemist,chemist.N
cheque,cheque.N
chief,chief.N
chiefly,chiefly.ADV
child,child.N
childish,childish.ADJ
childishness,childishness.N
childlike,childlike.ADJ
childlikeness,childlikeness.N
children,child.N
chilly,chilly.ADJ
chinese,chinese.N
chocolate,chocolate.N
choice,choice.N
choose,choose.V::g1s:g1p:g2s:g2p:g3p
christian,christian.N
christmas,christmas.N
chuck,chuck.ADV
chucking,chuck.V
chunk,chunk.V::g1s:g1p:g2s:g2p:g3p
church,church.V::g1s:g1p:g2s:g2p:g3p
cigarettes,cigarette.N
cinema,cinema.N
circle,circle.V::g1s:g1p:g2s:g2p:g3p
circles,circle.V::g3s
circumscribed,circumscribe.V
circumstances,circumstance.N
citizen,citizen.N
citizenship,citizenship.N
civilisation,civilisation.N
civilized,civilize.V
claims,claim.V::g3s
clarification,clarification.N
clarify,clarify.V::g1s:g1p:g2s:g2p:g3p
clash,clash.V::g1s:g1p:g2s:g2p:g3p
clashes,clash.V::g3s
class,class.V::g1s:g1p:g2s:g2p:g3p
classes,class.V::g3s
clean,clean.ADV
cleaning,clean.V
clear,clear.ADV
