a,a.DET:4
hair,hair.N
half,half.ADV
hall,hall.N
halt,halt.V::g1s:g1p:g2s:g2p:g3p
hand,hand.V::g1s:g1p:g2s:g2p:g3p
handle,handle.V::g1s:g1p:g2s:g2p:g3p
handles,handle.V::g3s
hands,hand.V::g3s
handy,handy.ADJ
hang,hang.V::g1s:g1p:g2s:g2p:g3p
hanging,hang.V
hangs,hang.V::g3s
happened,happen.V
happen,happen.V::g1s:g1p:g2s:g2p:g3p
happening,happen.V
happens,happen.V::g3s
happier,happy.ADJ
happiest,happy.ADJ
happily,happily.ADV
happiness,happiness.N
happy,happy.ADJ
harder,hard.ADV
hard,hard.ADV
hardly,hardly.ADV
harm,harm.V::g1s:g1p:g2s:g2p:g3p
harmless,harmless.ADJ
hart,hart.N
has,have.V::g3s
haste,haste.N
hateful,hateful.ADJ
hate,hate.V::g1s:g1p:g2s:g2p:g3p
hat,hat.V::g1s:g1p:g2s:g2p:g3p
haunted,haunt.V
have,have.V::g1s:g1p:g2s:g2p:g3p
haven,haven.N
having,have.V
hay,hay.V::g1s:g1p:g2s:g2p:g3p
hazy,hazy.ADJ
headed,head.V
head,head.V::g1s:g1p:g2s:g2p:g3p
headlines,headline.V::g3s
heal,heal.V::g1s:g1p:g2s:g2p:g3p
health,health.N
healthily,healthily.ADV
healthy,healthy.ADJ
heaps,heap.V::g3s
heard,hear.V
hear,hear.V::g1s:g1p:g2s:g2p:g3p
hearing,hear.V
hears,hear.V::g3s
hearted,heart.V
heart,heart.V::g1s:g1p:g2s:g2p:g3p
heartiest,hearty.ADJ
heated,heat.V
heat,heat.V::g1s:g1p:g2s:g2p:g3p
heather,heather.N
heave,heave.V::g1s:g1p:g2s:g2p:g3p
heaven,heaven.N
heavenly,heavenly.ADV
heavily,heavily.ADV
heavy,heavy.ADV
hebrew,hebrew.N
heder,heder.N
he,he.PRO
heir,heir.N
held,hold.V
hell,hell.N
hellish,hellish.ADJ
helped,help.V
helpful,helpful.ADJ
help,help.V::g1s:g1p:g2s:g2p:g3p
helps,help.V::g3s
hence,hence.ADV
hereby,hereby.ADV
here,here.ADV
herein,herein.ADV
her,her.PRO
herself,herself.PRO
hesitate,hesitate.V::g1s:g1p:g2s:g2p:g3p
hideous,hideous.ADJ
hid,hide.V
hiding,hide.V
hie,hie.V::g1s:g1p:g2s:g2p:g3p
higher,high.ADV
highest,high.ADV
high,high.ADV
highly,highly.ADV
hight,hight.ADJ
hills,hill.V::g3s
hilly,hilly.ADJ
him,him.PRO
himself,himself.PRO
hindlegs,hindleg.N
hin,hin.N
hinted,hint.V
hinter,hinter.N
hint,hint.V::g1s:g1p:g2s:g2p:g3p
hired,hire.V
his,his.PRO
historical,historical.N
history,history.N
hits,hit.V::g3s
hob,hob.V::g1s:g1p:g2s:g2p:g3p
hoc,hoc.N
hold,hold.V::g1s:g1p:g2s:g2p:g3p
holding,hold.V
holds,hold.V::g3s
hole,hole.N
holes,hole.N
holiday,holiday.N
holidays,holidays.ADV
holt,holt.N
homecoming,homecoming.N
home,home.ADV
homes,home.V::g3s
homo,homo.N
honest,honest.ADV
honestly,honestly.ADV
honesty,honesty.N
honor,honor.V::g1s:g1p:g2s:g2p:g3p
honoured,honour.V
honour,honour.V::g1s:g1p:g2s:g2p:g3p
hoped,hope.V
hope,hope.V::g1s:g1p:g2s:g2p:g3p
hopeless,hopeless.ADJ
hopelessly,hopelessly.ADV
hopelessness,hopelessness.N
hoper,hoper.N
hopes,hope.V::g3s
hoping,hope.V
horizontal,horizontal.N
hormones,hormone.N
horoscope,horoscope.N
horrible,horrible.N
horrid,horrid.ADJ
horrors,horror.N
horses,horse.V::g3s
hospital,hospital.N
hospitality,hospitality.N
hospitals,hospital.N
host,host.V::g1s:g1p:g2s:g2p:g3p
hosts,host.V::g3s
hotel,hotel.N
hot,hot.ADV
hour,hour.N
hourly,hourly.ADV
hours,hour.N
household,household.N
house,house.V::g1s:g1p:g2s:g2p:g3p
houses,house.V::g3s
housework,housework.N
however,however.ADV
huge,huge.ADJ
hugely,hugely.ADV
humane,humane.ADJ
human,human.N
humanly,humanly.ADV
humbug,humbug.V::g1s:g1p:g2s:g2p:g3p
humbugs,humbug.V::g3s
humiliating,humiliate.V
hundred,hundred.N
hundreds,hundred.N
hun,hun.N
hunt,hunt.V::g1s:g1p:g2s:g2p:g3p
hurried,hurry.V
hurriedly,hurriedly.ADV
hurry,hurry.V::g1s:g1p:g2s:g2p:g3p
hurt,hurt.V::g1s:g1p:g2s:g2p:g3p
husband,husband.V::g1s:g1p:g2s:g2p:g3p
husker,husker.N
hustle,hustle.V::g1s:g1p:g2s:g2p:g3p
hut,hut.N
hypothesis,hypothesis.N
idea,idea.N
ideal,ideal.N
ideas,idea.N
idem,idem.PRO
identical,identical.ADJ
identify,identify.V::g1s:g1p:g2s:g2p:g3p
identity,identity.N
ill,ill.ADV
illnesses,illness.N
illness,illness.N
illogically,illogically.ADV
illuminating,illuminate.V
illustrate,illustrate.V::g1s:g1p:g2s:g2p:g3p
image,image.V::g1s:g1p:g2s:g2p:g3p
imagery,imagery.N
imagination,imagination.N
imagined,imagine.V
imagine,imagine.V::g1s:g1p:g2s:g2p:g3p
immature,immature.N
immaturity,immaturity.N
immediate,immediate.ADJ
immediately,immediately.ADV
immense,immense.ADJ
immensely,immensely.ADV
immersion,immersion.N
immigration,immigration.N
immoral,immoral.ADJ
impartial,impartial.ADJ
impartially,impartially.ADV
impatient,impatient.ADJ
imperative,imperative.N
imperatively,imperatively.ADV
impersonated,impersonate.V
impertinent,impertinent.ADJ
implies,imply.V::g3s
imply,imply.V::g1s:g1p:g2s:g2p:g3p
impolite,impolite.ADJ
importance,importance.N
important,important.ADJ
import,import.V::g1s:g1p:g2s:g2p:g3p
impossibility,impossibility.N
impossible,impossible.ADJ
impotence,impotence.N
impressed,impress.V
impresses,impress.V::g3s
impression,impression.N
impressive,impressive.ADJ
improper,improper.ADJ
improved,improve.V
improve,improve.V::g1s:g1p:g2s:g2p:g3p
improvement,improvement.N
improvements,improvement.N
improving,improve.V
inability,inability.N
inaccurate,inaccurate.ADJ
inaction,inaction.N
inactive,inactive.ADJ
inadequate,inadequate.ADJ
inadmissible,inadmissible.ADJ
inaudible,inaudible.ADJ
incapable,incapable.ADJ
inch,inch.V::g1s:g1p:g2s:g2p:g3p
incident,incident.N
inclined,incline.V
inclines,incline.V::g3s
includes,include.V::g3s
including,include.V
incoherent,incoherent.ADJ
incomplete,incomplete.ADJ
inconsiderate,inconsiderate.ADJ
inconvenience,inconvenience.V::g1s:g1p:g2s:g2p:g3p
inconvenient,inconvenient.ADJ
incorporate,incorporate.V::g1s:g1p:g2s:g2p:g3p
incorporating,incorporate.V
increases,increase.V::g3s
increasingly,increasingly.ADV
incredible,incredible.ADJ
incredibly,incredibly.ADV
indeed,indeed.ADV
indefatigable,indefatigable.ADJ
indefinable,indefinable.N
indefinables,indefinable.N
indefinite,indefinite.N
independent,independent.N
indescribable,indescribable.ADJ
index,index.V::g1s:g1p:g2s:g2p:g3p
indicated,indicate.V
indicates,indicate.V::g3s
indications,indication.N
indigestion,indigestion.N
indignation,indignation.N
indirect,indirect.ADJ
individual,individual.N
individuals,individual.N
indoors,indoors.ADV
induction,induction.N
indulgence,indulgence.V::g1s:g1p:g2s:g2p:g3p
ineffectual,ineffectual.ADJ
inexplicable,inexplicable.ADJ
infection,infection.N
infections,infection.N
inference,inference.V::g1s:g1p:g2s:g2p:g3p
infinite,infinite.N
infinitely,infinitely.ADV
infinity,infinity.N
inflicting,inflict.V
influenced,influence.V
influence,influence.V::g1s:g1p:g2s:g2p:g3p
influences,influence.V::g3s
influenza,influenza.N
informal,informal.ADJ
information,information.N
informed,inform.V
inform,inform.V::g1s:g1p:g2s:g2p:g3p
informing,inform.V
ingenious,ingenious.ADJ
inhuman,inhuman.ADJ
in,in.ADV
initials,initial.V::g3s
injured,injure.V
injustice,injustice.N
ink,ink.V::g1s:g1p:g2s:g2p:g3p
inmates,inmate.N
inner,inner.N
innocence,innocence.N
innumerable,innumerable.ADJ
inofficial,inofficial.ADJ
inoperable,inoperable.ADJ
insane,insane.ADJ
insanity,insanity.N
insert,insert.V::g1s:g1p:g2s:g2p:g3p
inside,inside.ADV
insignificant,insignificant.ADJ
ins,in.N
insist,insist.V::g1s:g1p:g2s:g2p:g3p
instability,instability.N
instance,instance.V::g1s:g1p:g2s:g2p:g3p
instant,instant.N
instants,instant.N
instead,instead.ADV
instinct,instinct.N
institution,institution.N
institutions,institution.N
instruction,instruction.N
instructive,instructive.ADJ
instructively,instructively.ADV
instrument,instrument.V::g1s:g1p:g2s:g2p:g3p
instruments,instrument.V::g3s
integer,integer.N
integrity,integrity.N
intellect,intellect.N
intellectual,intellectual.N
intelligence,intelligence.N
intelligent,intelligent.ADJ
intelligently,intelligently.ADV
intelligible,intelligible.ADJ
intended,intend.V
intending,intend.V
intend,intend.V::g1s:g1p:g2s:g2p:g3p
intends,intend.V::g3s
intense,intense.ADJ
intensely,intensely.ADV
intension,intension.N
intensity,intensity.N
intensive,intensive.N
intention,intention.N
interact,interact.V::g1s:g1p:g2s:g2p:g3p
interchanged,interchange.V
intercourse,intercourse.N
interested,interest.V
interesting,interest.V
interest,interest.V::g1s:g1p:g2s:g2p:g3p
interests,interest.V::g3s
interferes,interfere.V::g3s
internal,internal.N
internally,internally.ADV
interned,intern.V
interpreted,interpret.V
interpreting,interpret.V
interpret,interpret.V::g1s:g1p:g2s:g2p:g3p
interrupted,interrupt.V
interrupt,interrupt.V::g1s:g1p:g2s:g2p:g3p
interruptions,interruption.N
intervals,interval.N
intervention,intervention.N
interview,interview.V::g1s:g1p:g2s:g2p:g3p
intestinal,intestinal.ADJ
intestines,intestine.N
intimately,intimately.ADV
intransitive,intransitive.ADJ
introduce,introduce.V::g1s:g1p:g2s:g2p:g3p
introducing,introduce.V
introduction,introduction.N
introductions,introduction.N
intruding,intrude.V
invasion,invasion.N
invention,invention.N
inverted,invert.V
investigated,investigate.V
investigate,investigate.V::g1s:g1p:g2s:g2p:g3p
investigates,investigate.V::g3s
investigation,investigation.N
investigations,investigation.N
invitation,invitation.N
invited,invite.V
invite,invite.V::g1s:g1p:g2s:g2p:g3p
inviting,invite.V
involving,involve.V
ion,ion.N
ire,ire.N
iron,iron.V::g1s:g1p:g2s:g2p:g3p
irrational,irrational.N
irrelevant,irrelevant.ADJ
irritable,irritable.ADJ
irritated,irritate.V
irritates,irritate.V::g3s
irritating,irritate.V
is,isbe.V::g3s
isolated,isolate.V
isolating,isolate.V
issued,issue.V
issue,issue.V::g1s:g1p:g2s:g2p:g3p
issues,issue.V::g3s
issuing,issue.V
italics,italic.N
items,item.N
it,it.PRO
itself,itself.PRO
its,its.PRO
jacket,jacket.V::g1s:g1p:g2s:g2p:g3p
jam,jam.V::g1s:g1p:g2s:g2p:g3p
jammed,jam.V
jargon,jargon.V::g1s:g1p:g2s:g2p:g3p
jaw,jaw.V::g1s:g1p:g2s:g2p:g3p
jewish,jewish.N
job,job.V::g1s:g1p:g2s:g2p:g3p
jobless,jobless.ADJ
jobs,job.V::g3s
joined,join.V
joiner,joiner.N
joining,join.V
join,join.V::g1s:g1p:g2s:g2p:g3p
jointly,jointly.ADV
jokes,joke.V::g3s
jolly,jolly.ADV
journalism,journalism.N
journalist,journalist.N
journals,journal.N
journey,journey.V::g1s:g1p:g2s:g2p:g3p
joy,joy.N
judged,judge.V
judge,judge.V::g1s:g1p:g2s:g2p:g3p
judgement,judgement.N
judges,judge.V::g3s
judgment,judgment.N
juggling,juggle.V
jumble,jumble.V::g1s:g1p:g2s:g2p:g3p
jump,jump.V::g1s:g1p:g2s:g2p:g3p
jumpy,jumpy.ADJ
junior,junior.N
justify,justify.V::g1s:g1p:g2s:g2p:g3p
just,just.ADV
keenly,keenly.ADV
keeping,keep.V
keep,keep.V::g1s:g1p:g2s:g2p:g3p
keeps,keep.V::g3s
kept,keep.V
kettledrum,kettledrum.N
key,key.V::g1s:g1p:g2s:g2p:g3p
kicking,kick.V
kick,kick.V::g1s:g1p:g2s:g2p:g3p
kidneys,kidney.N
killed,kill.V
killing,kill.V
kinder,kind.ADJ
kindest,kind.ADJ
kindhearted,kindhearted.ADJ
kind,kind.N
kindly,kindly.ADV
kindness,kindness.N
kinds,kind.N
kit,kit.V::g1s:g1p:g2s:g2p:g3p
knew,know.V
knowing,know.V
know,know.V::g1s:g1p:g2s:g2p:g3p
knowledge,knowledge.N
known,know.V
knows,know.V::g3s
kor,kor.N
kraft,kraft.N
kroner,krone.N
label,label.V::g1s:g1p:g2s:g2p:g3p
labile,labile.ADJ
lab,lab.N
laboratory,laboratory.N
labour,labour.V::g1s:g1p:g2s:g2p:g3p
lacking,lack.V
lack,lack.V::g1s:g1p:g2s:g2p:g3p
lade,lade.V::g1s:g1p:g2s:g2p:g3p
laden,laden.V::g1s:g1p:g2s:g2p:g3p
lady,lady.N
lag,lag.V::g1s:g1p:g2s:g2p:g3p
lake,lake.V::g1s:g1p:g2s:g2p:g3p
la,la.ADJ
lamed,lame.V
landlady,landlady.N
landlord,landlord.N
landscape,landscape.V::g1s:g1p:g2s:g2p:g3p
language,language.N
languages,language.N
large,large.ADV
larger,large.ADJ
las,la.N
lass,lass.N
lasted,last.V
last,last.ADV
lasts,last.V::g3s
late,late.ADV
lately,lately.ADV
latent,latent.N
later,late.ADV
latest,late.ADV
latin,latin.V::g1s:g1p:g2s:g2p:g3p
lat,lat.N
latter,latter.ADJ
laudatory,laudatory.ADJ
laugh,laugh.V::g1s:g1p:g2s:g2p:g3p
laughter,laughter.N
law,law.V::g1s:g1p:g2s:g2p:g3p
laws,law.V::g3s
layman,layman.N
laziness,laziness.N
lazy,lazy.V::g1s:g1p:g2s:g2p:g3p
leading,lead.V
lead,lead.V::g1s:g1p:g2s:g2p:g3p
leads,lead.V::g3s
leaf,leaf.V::g1s:g1p:g2s:g2p:g3p
leak,leak.V::g1s:g1p:g2s:g2p:g3p
learned,learn.V
learning,learn.V
learn,learn.V::g1s:g1p:g2s:g2p:g3p
learnt,learn.V
least,least.ADV
leave,leave.V::g1s:g1p:g2s:g2p:g3p
leaves,leave.V::g3s
leaving,leave.V
lectured,lecture.V
lecture,lecture.V::g1s:g1p:g2s:g2p:g3p
lecturer,lecturer.N
lectureship,lectureship.N
lectures,lecture.V::g3s
lecturing,lecture.V
ledger,ledger.N
led,lead.V
leer,leer.V::g1s:g1p:g2s:g2p:g3p
left,left.ADV
legal,legal.N
legally,legally.ADV
legitimate,legitimate.V::g1s:g1p:g2s:g2p:g3p
legitimately,legitimately.ADV
leg,leg.V::g1s:g1p:g2s:g2p:g3p
legs,leg.V::g3s
leisure,leisure.N
leisurely,leisurely.ADV
lemon,lemon.N
lending,lend.V
lend,lend.V::g1s:g1p:g2s:g2p:g3p
length,length.N
lengthy,lengthy.ADJ
lent,lend.V
lesson,lesson.V::g1s:g1p:g2s:g2p:g3p
let,let.V::g1s:g1p:g2s:g2p:g3p
lets,let.V::g3s
letterbox,letterbox.V::g1s:g1p:g2s:g2p:g3p
letter,letter.V::g1s:g1p:g2s:g2p:g3p
letters,letter.V::g3s
letting,let.V
level,level.V::g1s:g1p:g2s:g2p:g3p
lever,lever.V::g1s:g1p:g2s:g2p:g3p
liable,liable.ADJ
liberty,liberty.N
library,library.N
lief,lief.ADV
liege,liege.N
lie,lie.V::g1s:g1p:g2s:g2p:g3p
lies,lie.V::g3s
lieu,lieu.N
life,life.N
lifetime,lifetime.N
lift,lift.V::g1s:g1p:g2s:g2p:g3p
lighting,light.V
light,light.ADV
lights,light.V::g3s
likeable,likeable.ADJ
liked,like.V
likelihood,likelihood.N
likely,likely.ADV
likenesses,likeness.N
likes,like.V::g3s
likewise,likewise.ADV
liking,like.V
limes,lime.V::g3s
limited,limit.V
limitless,limitless.ADJ
limit,limit.V::g1s:g1p:g2s:g2p:g3p
line,line.V::g1s:g1p:g2s:g2p:g3p
lines,line.V::g3s
linger,linger.V::g1s:g1p:g2s:g2p:g3p
links,link.V::g3s
listened,listen.V
listen,listen.V::g1s:g1p:g2s:g2p:g3p
listens,listen.V::g3s
list,list.V::g1s:g1p:g2s:g2p:g3p
literal,literal.N
lit,light.V
little,little.ADV
lived,live.V
live,live.V::g1s:g1p:g2s:g2p:g3p
lively,lively.ADV
liver,liver.N
lives,live.V::g3s
living,live.V
loathsome,loathsome.ADJ
local,local.N
lodge,lodge.V::g1s:g1p:g2s:g2p:g3p
lodgers,lodger.N
logical,logical.ADJ
logically,logically.ADV
logician,logician.N
logicians,logician.N
logic,logic.N
log,log.V::g1s:g1p:g2s:g2p:g3p
loneliness,loneliness.N
lonely,lonely.ADJ
longed,long.V
longer,longer.ADV
longing,long.V
longish,longish.ADJ
long,long.ADV
looked,look.V
looking,look.V
look,look.V::g1s:g1p:g2s:g2p:g3p
looks,look.V::g3s
loose,loose.ADV
looser,loose.ADJ
loosing,loose.V
lose,lose.V::g1s:g1p:g2s:g2p:g3p
losing,lose.V
loss,loss.N
lost,lose.V
lot,lot.V::g1s:g1p:g2s:g2p:g3p
lots,lots.ADV
lousy,lousy.ADJ
loved,love.V
love,love.V::g1s:g1p:g2s:g2p:g3p
lovely,lovely.ADV
loves,love.V::g3s
low,low.ADV
loyal,loyal.ADJ
loyalty,loyalty.N
lubricates,lubricate.V::g3s
lucid,lucid.ADJ
luck,luck.N
lucky,lucky.ADJ
lukewarm,lukewarm.ADJ
lunch,lunch.V::g1s:g1p:g2s:g2p:g3p
luxation,luxation.N
lying,lie.V
machine,machine.V::g1s:g1p:g2s:g2p:g3p
machines,machine.V::g3s
made,make.V
mad,mad.V::g1s:g1p:g2s:g2p:g3p
madness,madness.N
magazine,magazine.N
magazines,magazine.N
magi,magus.N
mag,mag.N
mags,mag.N
maid,maid.N
mail,mail.V::g1s:g1p:g2s:g2p:g3p
mainly,mainly.ADV
main,main.N
make,make.V::g1s:g1p:g2s:g2p:g3p
makeshift,makeshift.N
makes,make.V::g3s
making,make.V
male,male.N
malice,malice.N
malicious,malicious.ADJ
maligned,malign.V
mal,mal.N
malo,malo.N
mals,mal.N
managed,manage.V
manage,manage.V::g1s:g1p:g2s:g2p:g3p
mange,mange.N
mangler,mangler.N
man,man.V::g1s:g1p:g2s:g2p:g3p
manners,manner.N
mans,man.V::g3s
manual,manual.N
manufactured,manufacture.V
manure,manure.V::g1s:g1p:g2s:g2p:g3p
manuscript,manuscript.N
manuscripts,manuscript.N
many,many.PRO
map,map.V::g1s:g1p:g2s:g2p:g3p
marbled,marble.V
margin,margin.V::g1s:g1p:g2s:g2p:g3p
markedly,markedly.ADV
marked,mark.V
mark,mark.V::g1s:g1p:g2s:g2p:g3p
marks,mark.V::g3s
married,marry.V
marvellous,marvellous.ADJ
marvelous,marvelous.ADJ
mas,ma.N
masses,mass.V::g3s
match,match.V::g1s:g1p:g2s:g2p:g3p
mate,mate.V::g1s:g1p:g2s:g2p:g3p
materially,materially.ADV
mater,mater.N
mathematical,mathematical.ADJ
mathematician,mathematician.N
mathematicians,mathematician.N
mathematics,mathematics.N
math,math.N
maths,math.N
matriculate,matriculate.V::g1s:g1p:g2s:g2p:g3p
mattered,matter.V
matter,matter.V::g1s:g1p:g2s:g2p:g3p
matters,matter.V::g3s
matt,matt.V::g1s:g1p:g2s:g2p:g3p
maybe,maybe.ADV
may,may.V::g1s:g1p:g2s:g2p:g3s:g3p
meagre,meagre.ADJ
meal,meal.N
meals,meal.N
meaningless,meaningless.ADJ
meaning,mean.V
meanings,meaning.N
mean,mean.V::g1s:g1p:g2s:g2p:g3p
meanness,meanness.N
means,mean.V::g3s
meantime,meantime.ADV
meant,mean.V
meanwhile,meanwhile.ADV
measure,measure.V::g1s:g1p:g2s:g2p:g3p
measuring,measure.V
meat,meat.N
medical,medical.ADJ
medicine,medicine.N
medicines,medicine.N
medley,medley.N
meeting,meet.V
meetings,meeting.N
meet,meet.V::g1s:g1p:g2s:g2p:g3p
melding,meld.V
melting,melt.V
member,member.N
members,member.N
me,me.PRO
memorandum,memorandum.N
memories,memory.N
memory,memory.N
mended,mend.V
mending,mend.V
mend,mend.V::g1s:g1p:g2s:g2p:g3p
men,man.N
mentally,mentally.ADV
mental,mental.ADJ
mentioned,mention.V
mentioning,mention.V
mention,mention.V::g1s:g1p:g2s:g2p:g3p
merciful,merciful.ADJ
merely,merely.ADV
mere,mere.N
merit,merit.V::g1s:g1p:g2s:g2p:g3p
mer,mer.N
message,message.V::g1s:g1p:g2s:g2p:g3p
messages,message.V::g3s
mess,mess.V::g1s:g1p:g2s:g2p:g3p
metal,metal.V::g1s:g1p:g2s:g2p:g3p
method,method.N
met,meet.V
midday,midday.N
middle,middle.N
middling,middling.ADV
midnight,midnight.N
might,might.V::g1s:g1p:g2s:g2p:g3s:g3p
milder,mild.ADJ
mildest,mild.ADJ
mildly,mildly.ADV
mild,mild.ADJ
miles,mile.N
military,military.N
milk,milk.V::g1s:g1p:g2s:g2p:g3p
minder,minder.N
mind,mind.V::g1s:g1p:g2s:g2p:g3p
minds,mind.V::g3s
mine,mine.PRO
min,min.N
minor,minor.V::g1s:g1p:g2s:g2p:g3p
minute,minute.V::g1s:g1p:g2s:g2p:g3p
minutes,minute.V::g3s
miracle,miracle.N
mir,mir.N
mirrored,mirror.V
mirrors,mirror.V::g3s
mirs,mir.N
mirth,mirth.N
misadventure,misadventure.N
misbehave,misbehave.V::g1s:g1p:g2s:g2p:g3p
miserable,miserable.N
miserables,miserable.N
misinterpretation,misinterpretation.N
misinterpretations,misinterpretation.N
misjudging,misjudge.V
misleading,mislead.V
misleads,mislead.V::g3s
misprint,misprint.V::g1s:g1p:g2s:g2p:g3p
misprints,misprint.V::g3s
misread,misread.V::g1s:g1p:g2s:g2p:g3p
missed,miss.V
missing,miss.V
miss,miss.V::g1s:g1p:g2s:g2p:g3p
mistake,mistake.V::g1s:g1p:g2s:g2p:g3p
mistaken,mistake.V
mistakes,mistake.V::g3s
mistrusts,mistrust.V::g3s
misunderstanding,misunderstand.V
misunderstandings,misunderstanding.N
misunderstand,misunderstand.V::g1s:g1p:g2s:g2p:g3p
misunderstood,misunderstand.V
mitten,mitten.N
mixed,mix.V
mixing,mix.V
mixture,mixture.N
model,model.V::g1s:g1p:g2s:g2p:g3p
mode,mode.N
moderately,moderately.ADV
moderate,moderate.V::g1s:g1p:g2s:g2p:g3p
modern,modern.N
modesty,modesty.N
molecular,molecular.ADJ
moll,moll.N
moment,moment.N
moments,moment.N
monastery,monastery.N
money,money.N
monsoons,monsoon.N
month,month.N
months,month.N
monument,monument.N
mood,moo.V
moods,mood.N
morale,morale.N
morally,morally.ADV
moral,moral.N
more,much.ADV
morgen,morgen.N
mor,mor.N
morning,morning.N
morrow,morrow.N
mortal,mortal.N
mort,mort.N
mosquitos,mosquito.N
mostly,mostly.ADV
most,much.ADV
mother,mother.V::g1s:g1p:g2s:g2p:g3p
motion,motion.V::g1s:g1p:g2s:g2p:g3p
motives,motive.V::g3s
motorcar,motorcar.N
motor,motor.V::g1s:g1p:g2s:g2p:g3p
mouse,mouse.V::g1s:g1p:g2s:g2p:g3p
mouth,mouth.V::g1s:g1p:g2s:g2p:g3p
moved,move.V
movement,movement.N
movements,movement.N
move,move.V::g1s:g1p:g2s:g2p:g3p
moves,move.V::g3s
moving,move.V
much,much.ADV
muck,muck.V::g1s:g1p:g2s:g2p:g3p
muddled,muddle.V
muddleheadedness,muddleheadedness.N
muddles,muddle.V::g3s
mugginess,mugginess.N
munificence,munificence.N
muscles,muscle.V::g3s
mushy,mushy.ADJ
musical,musical.N
musician,musician.N
music,music.N
muss,muss.V::g1s:g1p:g2s:g2p:g3p
must,must.V::g1s:g1p:g2s:g2p:g3s:g3p
mute,mute.V::g1s:g1p:g2s:g2p:g3p
mutilated,mutilate.V
my,my.ADJ
myself,myself.PRO
mystical,mystical.ADJ
nail,nail.V::g1s:g1p:g2s:g2p:g3p
named,name.V
namely,namely.ADV
name,name.V::g1s:g1p:g2s:g2p:g3p
names,name.V::g3s
narrowly,narrowly.ADV
nastiness,nastiness.N
nasty,nasty.N
nationalisation,nationalisation.N
nationalities,nationality.N
nationality,nationality.N
national,national.N
nations,nation.N
native,native.N
naturalized,naturalize.V
naturally,naturally.ADV
natural,natural.N
nature,nature.N
nauseating,nauseate.V
navy,navy.N
nearer,near.ADV
nearest,near.ADV
nearing,near.V
nearly,nearly.ADV
near,near.ADV
necessarily,necessarily.ADV
necessary,necessary.N
needed,need.V
need,need.V::g1s:g1p:g2s:g2p:g3p
needs,needs.ADV
negation,negation.N
negatively,negatively.ADV
negative,negative.V::g1s:g1p:g2s:g2p:g3p
negatives,negative.V::g3s
neglecting,neglect.V
negligence,negligence.N
neighbourhood,neighbourhood.N
neighbours,neighbour.N
neither,neither.PRO
nephew,nephew.N
nerves,nerve.V::g3s
nervous,nervous.ADJ
netter,netter.N
nett,nett.V::g1s:g1p:g2s:g2p:g3p
network,network.V::g1s:g1p:g2s:g2p:g3p
neuritis,neuritis.N
never,never.ADV
nevertheless,nevertheless.ADV
newborn,newborn.N
newcomer,newcomer.N
newly,newly.ADV
new,new.ADV
news,news.V::g1s:g1p:g2s:g2p:g3p
newspaper,newspaper.V::g1s:g1p:g2s:g2p:g3p
next,next.ADV
nexus,nexus.N
nicely,nicely.ADV
niceness,niceness.N
nice,nice.ADV
nicer,nice.ADV
nicety,nicety.N
niece,niece.N
night,night.N
nights,nights.ADV
nisi,nisi.ADJ
nob,nob.N
nobody,nobody.PRO
noise,noise.V::g1s:g1p:g2s:g2p:g3p
noises,noise.V::g3s
noisy,noisy.ADJ
nomen,nomen.N
nomina,nomen.N
none,none.ADV
nonexistence,nonexistence.N
no,no.ADV
nonsense,nonsense.N
nonsensical,nonsensical.ADJ
noon,noon.N
normally,normally.ADV
normal,normal.N
north,north.ADV
nose,nose.V::g1s:g1p:g2s:g2p:g3p
nos,no.N
nostrum,nostrum.N
notation,notation.N
notations,notation.N
note,note.V::g1s:g1p:g2s:g2p:g3p
notes,note.V::g3s
nothing,nothing.ADV
noticed,notice.V
notice,notice.V::g1s:g1p:g2s:g2p:g3p
notified,notify.V
notify,notify.V::g1s:g1p:g2s:g2p:g3p
notion,notion.N
notions,notion.N
not,not.ADV
nourishment,nourishment.N
novelist,novelist.N
novel,novel.N
novels,novel.N
november,november.N
nowadays,nowadays.ADV
nowhere,nowhere.ADV
now,now.ADV
nuisance,nuisance.N
null,null.N
numbered,number.V
number,number.V::g1s:g1p:g2s:g2p:g3p
numbers,number.V::g3s
numerical,numerical.ADJ
nun,nun.N
nu,nu.N
nursing,nurse.V
nuts,nut.V::g3s
obey,obey.V::g1s:g1p:g2s:g2p:g3p
objected,object.V
objection,objection.N
objections,objection.N
object,object.V::g1s:g1p:g2s:g2p:g3p
objects,object.V::g3s
obligation,obligation.N
obliged,oblige.V
oblige,oblige.V::g1s:g1p:g2s:g2p:g3p
obnoxious,obnoxious.ADJ
obscure,obscure.V::g1s:g1p:g2s:g2p:g3p
observe,observe.V::g1s:g1p:g2s:g2p:g3p
obtainable,obtainable.ADJ
obtain,obtain.V::g1s:g1p:g2s:g2p:g3p
obviously,obviously.ADV
obvious,obvious.ADJ
occasionally,occasionally.ADV
occasional,occasional.ADJ
occasion,occasion.V::g1s:g1p:g2s:g2p:g3p
occasions,occasion.V::g3s
occupations,occupation.N
occupied,occupy.V
occur,occur.V::g1s:g1p:g2s:g2p:g3p
occurred,occur.V
occurrence,occurrence.N
occurs,occur.V::g3s
oddly,oddly.ADV
odds,odds.N
offence,offence.N
offensively,offensively.ADV
offensive,offensive.N
offered,offer.V
offering,offer.V
offer,offer.V::g1s:g1p:g2s:g2p:g3p
offers,offer.V::g3s
office,office.N
