Aar,Aar.N:m
Allgemeinen,Allgemeine.N
allgemeiner,allgemein.ADJ
Allgemeiner,Allgemeine.N
allzu,allzu.CONJS
also,also.ADV
alt,alt.ADJ
Alt,Alt.N:m
Altars,Altar.N:2sm
alte,alt.ADJ
Alte,Alte.N
alten,alt.ADJ
Alten,Alte.N
alter,alt.ADJ
älter,alt.ADJ
Alter,Alte.N
Alteration,Alteration.N:4sf:3sf:2sf:1sf
Alterations,Alteration.N
ältere,alt.ADJ
Ältere,Alte.N
älteren,alt.ADJ
Älteren,Alte.N
alternative,alternative.N
Alternative,Alternative.N
alternatives,alternative.N
Alternatives,Alternative.N
Alters,Alter.N
Altertum,Altertum.N:4sn:3sn:1sn
Altertums,Altertum.N
altes,alt.ADJ
Altes,Alte.N
Aluminium,Aluminium.N
am,ambe.V::g1s
Amateur,Amateur.N:m
Ambition,Ambition.N:4sf:3sf:2sf:1sf
Ambo,Ambo.N:m
Amen,Amen.N:n
Amens,Amen.N
Amerika,Amerika.N:4sn:3sn:1sn
Amerikaner,Amerikaner.N:4sm:4pm:3sm:2pm:1sm:1pm
amerikaner,amerikanern.V
Amerikanerin,Amerikanerin.N:4sf:3sf:2sf:1sf
amerikanischem,amerikanisch.ADJ
Amerikanischem,Amerikanische.N
amerikanischen,amerikanisch.ADJ
Amerikanischen,Amerikanische.N
ample,ampeln.V
amt,amten.V
Amt,Amt.N:4sn:3sn:1sn
Amts,Amt.N
amüsiert,amüsieren.V
Analyse,Analyse.N:f
Analysieren,Analysieren.N:4sn:3sn:1sn
analysieren,analysieren.V
Analysis,Analysis.N:f
Anbahnen,Anbahnen.N:4sn:3sn:1sn
anbahnen,anbahnen.V#2
Anbetteln,Anbetteln.N:4sn:3sn:1sn
anbetteln,anbetteln.V#2
anblick,anblicken.V#2
Anblick,Anblick.N:m
anbricht,anbrechen.V#2
Anbringung,Anbringung.N:4sf:3sf:2sf:1sf
Andacht,Andacht.N:f
Andenken,Andenken.N:n
ander,ander.ADJ
andere,ander.ADJ
anderem,ander.ADJ
anderen,ander.ADJ
anderer,ander.ADJ
anderes,ander.ADJ
Ändern,Ändern.N:4sn:3sn:1sn
ändern,ändern.V
änderst,ändern.V
ändert,ändern.V
Änderung,Änderung.N:4sf:3sf:2sf:1sf
andre,ander.ADJ
Andre,Andre.N
andrer,ander.ADJ
Andrer,Andre.N
Anempfehlen,Anempfehlen.N:4sn:3sn:1sn
anempfehlen,anempfehlen.V#2
anempfohlen,anempfohlen.ADJ
Anerbieten,Anerbieten.N:n
Anerkennung,Anerkennung.N:4sf:3sf:2sf:1sf
anfall,anfallen.V#2
Anfall,Anfall.N:m
anfang,anfangen.V#2
Anfang,Anfang.N:m
anfange,anfangen.V#2
Anfange,Anfang.N:3sm
Anfangen,Anfangen.N:4sn:3sn:1sn
anfangen,anfangen.V#2
Anfangs,Anfang.N:m
anfängt,anfangen.V#2
Anfertigen,Anfertigen.N:4sn:3sn:1sn
anfertigen,anfertigen.V#2
anfing,anfangen.V#2
Anforderungen,Anforderung.N:4pf:3pf:2pf:1pf
Anfrage,Anfrage.N:f
anfrage,anfragen.V#2
Anfragen,Anfrage.N:f
anfragen,anfragen.V#2
Anfügen,Anfügen.N:4sn:3sn:1sn
anfügen,anfügen.V#2
anführen,anfahren.V#2
Anführen,Anführen.N:4sn:3sn:1sn
angab,angeben.V#2
Angabe,Angabe.N:4sf:3sf:2sf:1sf
Angaben,Angabe.N:f
angaben,angeben.V#2
Angeben,Angeben.N:4sn:3sn:1sn
angeben,angeben.V#2
