Aar,Aar.N:m
Artillerie,Artillerie.N:f
Arts,Art.N
Arzt,Arzt.N:m
Arztes,Arzt.N:m
As,As.N:m
Asphyxie,Asphyxie.N:f
Assertion,Assertion.N:f
Assistent,Assistent.N:m
Assistenten,Assistent.N:m
Assumption,Assumption.N:f
Assumptions,Assumption.N
Asthma,Asthma.N:n
Astronom,Astronom.N:m
Astronomen,Astronom.N:m
Astronomie,Astronomie.N:f
Atelier,Atelier.N:n
Atem,Atem.N:m
Atheismus,Atheismus.N:m
Atlas,Atlas.N:m
Atmen,Atmen.N:n
Atmosphäre,Atmosphäre.N:f
Attention,Attention.N:f
Attitude,Attitude.N:f
Attributes,Attribut.N:n
Auen,Aue.N
Aufbewahrung,Aufbewahrung.N:f
Aufenthalt,Aufenthalt.N:m
Aufenthalte,Aufenthalt.N:m
Aufenthalts,Aufenthalt.N
Auffahrende,Auffahrende.N
Auffallender,Auffallende.N
Auffassen,Auffassen.N:n
Auffassung,Auffassung.N:f
Auffassungen,Auffassung.N:f
Auffinden,Auffinden.N:n
Auffordern,Auffordern.N:n
Aufforderung,Aufforderung.N:f
Aufführung,Aufführung.N:f
Aufgabe,Aufgabe.N:f
Aufgaben,Aufgabe.N:f
Aufgeben,Aufgeben.N:n
Aufgebot,Aufgebot.N:n
Aufgehen,Aufgehen.N:n
Aufgeregten,Aufgeregte.N
Aufgeregter,Aufgeregte.N
Aufgetischte,Aufgetischte.N
Aufgewachsene,Aufgewachsene.N
Aufgreifen,Aufgreifen.N:n
Aufguß,Aufguß.N:m
Aufheiterung,Aufheiterung.N:f
Aufhängen,Aufhang.N:m
Aufhören,Aufhören.N:n
Aufklärer,Aufklärer.N:m
Aufklärungen,Aufklärung.N:f
Auflösung,Auflösung.N:f
Aufmerksamkeit,Aufmerksamkeit.N:f
Aufnahme,Aufnahme.N:f
Aufnehmen,Aufnehmen.N:n
Aufopferung,Aufopferung.N:f
Aufrecht,Aufrecht.N:n
Aufregung,Aufregung.N:f
Aufrichten,Aufrichte.N
Aufrichtige,Aufrichtige.N
Aufrichtigen,Aufrichtige.N
Aufrichtiger,Aufrichtige.N
Aufrichtigkeit,Aufrichtigkeit.N:f
